triplet;kappa;theta;sigma;rho;price;err;exec_time
74;0.5000;0.1200;0.1800;-0.9500;0.125846;0.001735;1.34
75;0.5000;0.1200;0.2000;-0.9500;0.124454;0.001697;1.34
76;0.5000;0.1200;0.2200;-0.9500;0.124034;0.001668;1.34
77;0.5000;0.1200;0.2400;-0.9500;0.123220;0.001635;1.34
78;0.5000;0.1200;0.2600;-0.9500;0.123527;0.001619;1.34
79;0.5000;0.1200;0.2800;-0.9500;0.122431;0.001583;1.34
80;0.5000;0.1300;0.1000;-0.9500;0.127758;0.001865;1.34
81;0.5000;0.1300;0.1200;-0.9500;0.127047;0.001837;1.34
82;0.5000;0.1300;0.1400;-0.9500;0.127809;0.001813;1.34
83;0.5000;0.1300;0.1600;-0.9500;0.126145;0.001777;1.34
84;0.5000;0.1300;0.1800;-0.9500;0.126210;0.001754;1.34
85;0.5000;0.1300;0.2000;-0.9500;0.124868;0.001711;1.34
86;0.5000;0.1300;0.2200;-0.9500;0.125617;0.001697;1.34
87;0.5000;0.1300;0.2400;-0.9500;0.124698;0.001664;1.34
88;0.5000;0.1300;0.2600;-0.9500;0.125535;0.001649;1.34
89;0.5000;0.1300;0.2800;-0.9500;0.124537;0.001617;1.34
90;0.5000;0.1400;0.1000;-0.9500;0.129666;0.001900;1.34
91;0.5000;0.1400;0.1200;-0.9500;0.130198;0.001879;1.34
92;0.5000;0.1400;0.1400;-0.9500;0.128506;0.001831;1.34
93;0.5000;0.1400;0.1600;-0.9500;0.127348;0.001796;1.34
94;0.5000;0.1400;0.1800;-0.9500;0.129308;0.001790;1.34
95;0.5000;0.1400;0.2000;-0.9500;0.126273;0.001734;1.34
96;0.5000;0.1400;0.2200;-0.9500;0.125201;0.001705;1.34
97;0.5000;0.1400;0.2400;-0.9500;0.125650;0.001683;1.34
98;0.5000;0.1400;0.2600;-0.9500;0.126028;0.001666;1.34
99;0.5000;0.1400;0.2800;-0.9500;0.124588;0.001628;1.34
100;0.7500;0.0500;0.1000;-0.8500;0.114911;0.001659;1.34
101;0.7500;0.0500;0.1200;-0.8500;0.114621;0.001635;1.34
102;0.7500;0.0500;0.1400;-0.8500;0.114816;0.001615;1.34
103;0.7500;0.0500;0.1600;-0.8500;0.113419;0.001573;1.34
104;0.7500;0.0500;0.1800;-0.8500;0.113532;0.001560;1.34
105;0.7500;0.0500;0.2000;-0.8500;0.112201;0.001532;1.34
