triplet;kappa;theta;sigma;rho;price;err;exec_time
74;0.5000;0.1200;0.1800;-0.9500;0.122794;0.001701;110.94
75;0.5000;0.1200;0.2000;-0.9500;0.121633;0.001664;110.94
76;0.5000;0.1200;0.2200;-0.9500;0.118627;0.001622;110.94
77;0.5000;0.1200;0.2400;-0.9500;0.117160;0.001593;110.94
78;0.5000;0.1200;0.2600;-0.9500;0.118110;0.001580;110.94
79;0.5000;0.1200;0.2800;-0.9500;0.117855;0.001557;110.94
80;0.5000;0.1300;0.1000;-0.9500;0.127430;0.001862;110.94
81;0.5000;0.1300;0.1200;-0.9500;0.127412;0.001843;110.94
82;0.5000;0.1300;0.1400;-0.9500;0.127465;0.001806;110.94
83;0.5000;0.1300;0.1600;-0.9500;0.126585;0.001771;110.94
84;0.5000;0.1300;0.1800;-0.9500;0.125065;0.001731;110.94
85;0.5000;0.1300;0.2000;-0.9500;0.121805;0.001678;110.94
86;0.5000;0.1300;0.2200;-0.9500;0.120741;0.001651;110.94
87;0.5000;0.1300;0.2400;-0.9500;0.117786;0.001605;110.94
88;0.5000;0.1300;0.2600;-0.9500;0.119456;0.001603;110.94
89;0.5000;0.1300;0.2800;-0.9500;0.119361;0.001578;110.94
90;0.5000;0.1400;0.1000;-0.9500;0.129101;0.001890;110.94
91;0.5000;0.1400;0.1200;-0.9500;0.128844;0.001868;110.94
92;0.5000;0.1400;0.1400;-0.9500;0.128109;0.001827;110.94
93;0.5000;0.1400;0.1600;-0.9500;0.127554;0.001791;110.94
94;0.5000;0.1400;0.1800;-0.9500;0.125329;0.001744;110.94
95;0.5000;0.1400;0.2000;-0.9500;0.123174;0.001700;110.94
96;0.5000;0.1400;0.2200;-0.9500;0.120910;0.001663;110.94
97;0.5000;0.1400;0.2400;-0.9500;0.119416;0.001635;110.94
98;0.5000;0.1400;0.2600;-0.9500;0.120956;0.001629;110.94
99;0.5000;0.1400;0.2800;-0.9500;0.120475;0.001603;110.94
100;0.7500;0.0500;0.1000;-0.8500;0.114491;0.001652;110.94
101;0.7500;0.0500;0.1200;-0.8500;0.114404;0.001633;110.94
102;0.7500;0.0500;0.1400;-0.8500;0.114087;0.001603;110.94
103;0.7500;0.0500;0.1600;-0.8500;0.110972;0.001548;110.94
104;0.7500;0.0500;0.1800;-0.8500;0.110487;0.001532;110.94
105;0.7500;0.0500;0.2000;-0.8500;0.108375;0.001495;110.94
106;0.7500;0.0500;0.2200;-0.8500;0.109493;0.001492;110.94
107;0.7500;0.0500;0.2400;-0.8500;0.108917;0.001467;110.94
108;0.7500;0.0500;0.2600;-0.8500;0.108751;0.001448;110.94
109;0.7500;0.0500;0.2800;-0.8500;0.109405;0.001434;110.94
110;0.7500;0.0600;0.1000;-0.8500;0.115527;0.001682;110.94
111;0.7500;0.0600;0.1200;-0.8500;0.116719;0.001671;110.94
112;0.7500;0.0600;0.1400;-0.8500;0.115439;0.001630;110.94
113;0.7500;0.0600;0.1600;-0.8500;0.113878;0.001592;110.94
114;0.7500;0.0600;0.1800;-0.8500;0.111914;0.001556;110.94
115;0.7500;0.0600;0.2000;-0.8500;0.110913;0.001533;110.94
116;0.7500;0.0600;0.2200;-0.8500;0.109881;0.001511;110.94
117;0.7500;0.0600;0.2400;-0.8500;0.111068;0.001503;110.94
118;0.7500;0.0600;0.2600;-0.8500;0.109020;0.001467;110.94
119;0.7500;0.0600;0.2800;-0.8500;0.110767;0.001468;110.94
120;0.7500;0.0700;0.1000;-0.8500;0.117909;0.001721;110.94
121;0.7500;0.0700;0.1200;-0.8500;0.118575;0.001703;110.94
122;0.7500;0.0700;0.1400;-0.8500;0.118780;0.001683;110.94
123;0.7500;0.0700;0.1600;-0.8500;0.117024;0.001643;110.94
124;0.7500;0.0700;0.1800;-0.8500;0.115067;0.001602;110.94
125;0.7500;0.0700;0.2000;-0.8500;0.111604;0.001555;110.94
126;0.7500;0.0700;0.2200;-0.8500;0.111382;0.001538;110.94
127;0.7500;0.0700;0.2400;-0.8500;0.111547;0.001523;110.94
128;0.7500;0.0700;0.2600;-0.8500;0.111361;0.001503;110.94
129;0.7500;0.0700;0.2800;-0.8500;0.111462;0.001488;110.94
130;0.7500;0.0800;0.1000;-0.8500;0.121406;0.001774;110.94
131;0.7500;0.0800;0.1200;-0.8500;0.120223;0.001735;110.94
132;0.7500;0.0800;0.1400;-0.8500;0.119664;0.001710;110.94
133;0.7500;0.0800;0.1600;-0.8500;0.119173;0.001678;110.94
134;0.7500;0.0800;0.1800;-0.8500;0.116610;0.001632;110.94
135;0.7500;0.0800;0.2000;-0.8500;0.113845;0.001593;110.94
136;0.7500;0.0800;0.2200;-0.8500;0.111587;0.001552;110.94
137;0.7500;0.0800;0.2400;-0.8500;0.113334;0.001558;110.94
138;0.7500;0.0800;0.2600;-0.8500;0.113277;0.001538;110.94
139;0.7500;0.0800;0.2800;-0.8500;0.113223;0.001521;110.94
140;0.7500;0.0900;0.1000;-0.8500;0.121683;0.001789;110.94
141;0.7500;0.0900;0.1200;-0.8500;0.122712;0.001778;110.94
142;0.7500;0.0900;0.1400;-0.8500;0.121931;0.001745;110.94
143;0.7500;0.0900;0.1600;-0.8500;0.120693;0.001707;110.94
